Event Identifier,Event Name,Event Record,First Date Year,First Date,Last Date,Venue Identifier,Venue Name,Suburb,State,Country,Latitude,Longitude,Primary Genre,Secondary Genre,Organisations,Subjects,Contributor Count,Resource Count,Works,,,
32019,Furioso,https://ausstage.edu.au/pages/event/32019,1998,14/5/1998,14/5/1998,4738,Stadthof 11 Theatre,Zürich,O/S,Switzerland,47.41068,8.549758,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,Furioso,,,
32021,Inuk,https://ausstage.edu.au/pages/event/32021,1998,16/5/1998,16/5/1998,4739,Theatre Casino,Zug,O/S,Switzerland,47.164587,8.5139,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,,,,
32023,Furioso,https://ausstage.edu.au/pages/event/32023,1998,19/5/1998,23/5/1998,4740,Tel Aviv Performing Arts Centre,Tel Aviv,O/S,Israel,32.076046,34.785104,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,Furioso,,,
32036,Furioso,https://ausstage.edu.au/pages/event/32036,1998,27/5/1998,28/5/1998,4742,Bergen Grieghallen,Bergen,O/S,Norway,60.388748,5.326374,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,Furioso,,,
32056,Birdbrain,https://ausstage.edu.au/pages/event/32056,2001,18/9/2001,,4749,National Arts Centre,Ottawa,O/S,Canada,45.423237,-75.692228,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,2,0,Birdbrain,,,
32057,Birdbrain,https://ausstage.edu.au/pages/event/32057,2001,22/7/2001,26/7/2001,4750,Seoul Arts Center,Seoul,O/S,South Korea,37.478945,127.012339,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,2,0,Birdbrain,,,
32058,Birdbrain,https://ausstage.edu.au/pages/event/32058,2001,2/10/2001,6/10/2001,4727,Harbourfront Centre,Toronto,O/S,Canada,46.63813,-79.385,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,2,0,Birdbrain,,,
32071,Birdbrain,https://ausstage.edu.au/pages/event/32071,2002,10/10/2002,11/10/2002,4692,"Stanford University, Stanford Lively Arts",Stanford,O/S,United States of America,37.432967,-122.170442,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,18,0,Birdbrain,,,
32077,Birdbrain,https://ausstage.edu.au/pages/event/32077,2002,15/10/2002,15/10/2002,4753,Zellerbach Theatre,Philadelphia,O/S,United States of America,39.953265,-75.196633,Dance,"Artist(s) with disability, Dance Theatre","Australian Dance Theatre, Dance Affiliates",,18,0,Birdbrain,,,
32086,Birdbrain,https://ausstage.edu.au/pages/event/32086,2002,20/10/2002,20/10/2002,4756,Zoellner Arts Center,Bethlehem,O/S,United States of America,40.608597,-75.37283,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,8,0,Birdbrain,,,
32088,Birdbrain,https://ausstage.edu.au/pages/event/32088,2002,23/10/2002,23/10/2002,4757,Centennial Hall,Alaska,O/S,United States of America,58.3000096,-134.4119952,Dance,"Artist(s) with disability, Dance Theatre","Australian Dance Theatre, Juneau Arts and Humanities Council",,7,0,Birdbrain,,,
32094,Birdbrain,https://ausstage.edu.au/pages/event/32094,2002,24/10/2002,27/10/2002,4758,Alaska Centre for the Performing Arts,Anchorage,O/S,United States of America,61.21706,-149.8943449,Dance,"Artist(s) with disability, Dance Theatre","Australian Dance Theatre, Anchorage Concert Association",,7,0,Birdbrain,,,
32097,Birdbrain,https://ausstage.edu.au/pages/event/32097,2002,2/11/2002,2/11/2002,4761,Pikes Peak Center,Colorado,O/S,United States of America,38.830498,-104.826007,Dance,"Artist(s) with disability, Dance Theatre","Australian Dance Theatre, Colorado Springs Dance Theatre",,7,0,Birdbrain,,,
32101,Birdbrain,https://ausstage.edu.au/pages/event/32101,2002,7/11/2002,9/11/2002,4762,"The Dance Center, Columbia College",Chicago,O/S,United States of America,41.865547,-87.624612,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,7,0,Birdbrain,,,
32107,Birdbrain,https://ausstage.edu.au/pages/event/32107,2002,1/6/2002,3/6/2002,4766,"National University of Singapore, University Cultural Centre",Singapore,O/S,Singapore,1.301897,103.772451,Dance,"Artist(s) with disability, Dance Theatre",Australian Dance Theatre,,7,0,Birdbrain,,,
32295,Labyrinth / Impromptu / Flibbertigibbet / Transfigured Night,https://ausstage.edu.au/pages/event/32295,1980,30/8/1980,,4782,Stichting Theater Zuidplein,Rotterdam,O/S,Netherlands,51.888083,4.49026,Dance,"Contemporary, Dance Theatre",Australian Dance Theatre,,9,0,,,,
32323,Let's Do It / Never Mind the Bindies / Tu Tu Wah,https://ausstage.edu.au/pages/event/32323,1992,13/9/1992,,4784,Victoria Theatre,Singapore,O/S,Singapore,1.28767,103.851803,Dance,"Contemporary, Dance Theatre",Australian Dance Theatre,,5,0,,,,
32407,Possessed,https://ausstage.edu.au/pages/event/32407,1999,8/4/1999,,4788,Tent Chapiteau,Champigny,O/S,France,48.817049,2.515556,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,1,0,,,,
32408,Furioso,https://ausstage.edu.au/pages/event/32408,1999,12/4/1999,13/4/1999,4789,Mason des Arts,Créteil,O/S,France,48.778478,2.45379,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,Furioso,,,
32409,Possessed,https://ausstage.edu.au/pages/event/32409,1999,1999-05,,4790,Viehauktionshalle Weimar,Weimar,O/S,Germany,50.984712,11.32254,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,1,0,,,,
32410,Possessed,https://ausstage.edu.au/pages/event/32410,1999,1999-05,,4685,Forum Leverkusen,Leverkusen,O/S,Germany,51.035078,6.989177,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,1,0,,,,
32680,Furioso,https://ausstage.edu.au/pages/event/32680,1999,1999,,4804,Theatre der Stadt,Remscheid,O/S,Germany,51.181727,7.1878,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,2,0,Furioso,,,
32683,Furioso,https://ausstage.edu.au/pages/event/32683,1999,9/2/1999,,4177,Centennial Hall,Tucson,O/S,United States of America,32.231489,-110.955434,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32685,Furioso,https://ausstage.edu.au/pages/event/32685,1999,29/1/1999,,4674,Brooklyn Academy of Music,Fort Greene,O/S,United States of America,40.6881796,-73.9791004,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32689,Furioso,https://ausstage.edu.au/pages/event/32689,1999,1999,,4805,Royce Hall,Los Angeles,O/S,United States of America,34.075479,-118.439743,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32691,Furioso,https://ausstage.edu.au/pages/event/32691,1999,1999,,4176,Scottsdale Center For the Arts,Arizona,O/S,United States of America,33.491326,-111.922455,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32697,Furioso,https://ausstage.edu.au/pages/event/32697,1999,19/1/1999,20/1/1999,4806,Power Center,Ann Arbor,O/S,United States of America,42.28077,-83.735926,Dance,Dance Theatre,"Meryl Tankard Australian Dance Theatre, University Musical Society",,3,0,Furioso,,,
32706,Furioso,https://ausstage.edu.au/pages/event/32706,1999,26/2/1999,1999,4808,Purchase Center for Performing Arts,Purchase,O/S,United States of America,41.038662,-73.697509,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32707,Furioso,https://ausstage.edu.au/pages/event/32707,1999,2/3/1999,1999,4160,McCarter Theatre,Princeton,O/S,United States of America,40.343486,-74.65991,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32708,Furioso,https://ausstage.edu.au/pages/event/32708,1999,1999,1999,4809,Washington Performing Arts Center,Washington,O/S,United States of America,35.550627,-77.060186,Dance,Dance Theatre,Meryl Tankard Australian Dance Theatre,,3,0,Furioso,,,
32729,Carvalho / Gat / Guerin / Forsythe,https://ausstage.edu.au/pages/event/32729,2016,20/2/2016,27/2/2016,13370,Theatre de la Ville,Paris,O/S,France,48.857388,2.34777,Dance,Contemporary,Ballet de l'Opéra de Lyon,,12,3,"Black Box, One Flat Thing, Reproduced, Sunshine, Xylographie",,,
32783,"Blues / This Train / Spiritual / Hallucinations / Gin, Woman, Distress / Retrospective / Sundown / Grizzly Bear",https://ausstage.edu.au/pages/event/32783,1968,23/7/1968,,4811,Teatro All'aperto,Lipari Messina,O/S,Italy,38.466999,14.957079,Dance,Dance Theatre,"Peter, Paul and Mary, Australian Dance Theatre",,9,0,,,,
33081,Birdbrain,https://ausstage.edu.au/pages/event/33081,2003,24/10/2003,26/10/2003,4825,Kassa Lucent Danstheater,Den Haag,O/S,Netherlands,52.076828,4.317197,Dance,"Artist(s) with disability, Dance Theatre","Australian Dance Theatre, Holland Festival",,7,0,Birdbrain,,,
33099,Cut and Thrust,https://ausstage.edu.au/pages/event/33099,1983,28/9/1983,,4829,The Drill Hall,Soho,O/S,England,51.520823,-0.132651,Music Theatre,Music Theatre,Silver Lining Limited,,11,0,,,,
33100,The Colony Comes a Cropper,https://ausstage.edu.au/pages/event/33100,1990,7/11/1990,25/11/1990,3462,Battersea Arts Centre,Battersea,O/S,England,51.4649487,-0.1605115,Music Theatre,Comedy,"Monstrous Regiment, The Salisbury Arts Theatre Ltd.","Feminism, Gender roles, Women, Women's Issues",14,0,,,,
33108,A Star is Torn,https://ausstage.edu.au/pages/event/33108,1982,1/6/1982,3/7/1982,4832,"Theatre Royal, Stratford East",Stratford,O/S,England,51.542413,0.001046,Music Theatre,"Biographical, Song, Theatre",Helen Montagu Productions,"Biography, Entertainers",7,7,A Star is Torn,,,
33109,A Star is Torn,https://ausstage.edu.au/pages/event/33109,1982,4/8/1982,29/1/1983,13446,Wyndham's Theatre,London,O/S,England,51.511052,-0.128221,Music Theatre,"Biographical, Music Theatre, Song",Helen Montagu Productions,"Biography, Entertainers",7,7,A Star is Torn,,,
60383,The Pack of Women,https://ausstage.edu.au/pages/event/60383,1981,11/11/1981,,4829,The Drill Hall,Soho,O/S,England,51.520823,-0.132651,Music,"Cabaret, Dance, Poetry, Song",Diehard Productions,"Feminism, Women's Issues",5,1,The Pack of Women,,,
60606,Circus Oz,https://ausstage.edu.au/pages/event/60606,1980,15/12/1980,17/1/1981,10110,Chichester Festival Theatre,Chichester,O/S,England,50.8428899,-0.777384,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Australia Council for the Arts, Department of Foreign Affairs and Trade",,14,0,,,,
60608,Circus Oz,https://ausstage.edu.au/pages/event/60608,1980,2/11/1980,29/11/1980,10112,Roundhouse Theatre,London,O/S,England,51.543297,-0.151925,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Australia Council for the Arts, Department of Foreign Affairs and Trade",,14,4,,,,
60810,Circus Oz,https://ausstage.edu.au/pages/event/60810,1984,29/6/1984,10/7/1984,13911,Freud Theatre,Los Angeles,O/S,United States of America,34.06503,-118.445326,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Australia Council for the Arts",,0,0,,,,
60869,Circus Oz,https://ausstage.edu.au/pages/event/60869,1987,10/8/1987,30/8/1987,10177,The Assembly Rooms,Edinburgh,O/S,Scotland,55.953028,-3.198743,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Edinburgh International Festival, Australia Council for the Arts",,16,1,,,,
60870,Circus Oz in Portsmouth,https://ausstage.edu.au/pages/event/60870,1987,9/5/1987,26/5/1987,10507,King's Theatre,Southsea,O/S,England,50.786911,-1.081168,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Portsmouth Festival UK, Australia Council for the Arts",,16,0,,,,
60873,Circus Oz,https://ausstage.edu.au/pages/event/60873,1987,14/7/1987,9/8/1987,13921,Coin Street,Southbank,O/S,England,51.508229,-0.108174,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Australia Council for the Arts",,16,0,,,,
60881,Circus Oz,https://ausstage.edu.au/pages/event/60881,1987,23/6/1987,13/7/1987,10184,Palace of Fine Arts Theatre,California,O/S,United States of America,37.8029742,-122.4480896,Other,"Circus, Group-devised, Variety","Circus Oz, Circus Australia Ltd, Australia Council for the Arts",,16,0,,,,
60918,Circus Oz,https://ausstage.edu.au/pages/event/60918,1988,6/8/1988,3/9/1988,10177,The Assembly Rooms,Edinburgh,O/S,Scotland,55.953028,-3.198743,Other,"Circus, Group-devised, Variety","Circus Oz, Australian Bicentennial Authority, Australia Council for the Arts, QANTAS",,0,2,,,,
60922,Circus Oz,https://ausstage.edu.au/pages/event/60922,1988,13/9/1988,17/9/1988,10194,"Theatre Royal, Plymouth",Plymouth,O/S,England,50.370018,-4.144728,Other,"Circus, Group-devised, Variety","Circus Oz, Australian Bicentennial Authority, Australia Council for the Arts",,0,0,,,,
60923,Circus Oz,https://ausstage.edu.au/pages/event/60923,1988,27/9/1988,1/10/1988,3033,Gaiety Theatre,Dublin,O/S,Ireland,53.34024,-6.261846,Other,"Circus, Group-devised, Variety","Circus Oz, Australian Bicentennial Authority, Australia Council for the Arts",,0,0,,,,
61035,Non Stop Energy,https://ausstage.edu.au/pages/event/61035,1990,4/5/1990,12/5/1990,10242,Zellerbach Hall,Berkeley,O/S,United States of America,37.869094,-122.260692,Other,"Circus, Group-devised, Variety","Circus Oz, Cal Performances, Australia Council for the Arts, The Victorian Ministry for the Arts, QANTAS",,22,1,Non Stop Energy,,,
61037,Non Stop Energy,https://ausstage.edu.au/pages/event/61037,1990,13/5/1990,22/5/1990,10244,Tennessee Amphitheatre,Tennessee,O/S,United States of America,35.961172,-83.923888,Other,"Circus, Group-devised, Variety","Circus Oz, Knoxville World Festival, Australia Council for the Arts, The Victorian Ministry for the Arts, QANTAS",,22,1,Non Stop Energy,,,
61038,Non Stop Energy,https://ausstage.edu.au/pages/event/61038,1990,28/5/1990,1/7/1990,10245,City Center Theatre,New York,O/S,United States of America,40.7636287,-73.9795713,Other,"Circus, Group-devised, Variety","Circus Oz, City Center Theatre, Australia Council for the Arts, The Victorian Ministry for the Arts, QANTAS",,22,1,Non Stop Energy,,,
61041,Circus Oz,https://ausstage.edu.au/pages/event/61041,1990,16/7/1990,31/7/1990,13930,Garden Expo Stage,Osaka,O/S,Japan,34.80577,135.53232,Other,"Circus, Group-devised, Variety","Circus Oz, QANTAS",,0,0,,,,
61053,Circus Oz,https://ausstage.edu.au/pages/event/61053,1991,29/6/1991,4/8/1991,10248,Gandy's Tent,Manchester,O/S,England,53.478598,-2.257631,Other,"Circus, Group-devised, Variety","Circus Oz, Granada Television, Australia Council for the Arts, The Victorian Ministry for the Arts, QANTAS, Victorian Tourist Commission",,17,3,,,,
61083,Circus Oz,https://ausstage.edu.au/pages/event/61083,1991,5/8/1991,2/9/1991,13931,The Meadows,Edinburgh,O/S,Scotland,55.94128,-3.19224,Other,"Circus, Group-devised, Variety","Circus Oz, Assembly Theatre, Edinburgh Fringe Festival, Australia Council for the Arts, The Victorian Ministry for the Arts, QANTAS, Victorian Tourist Commission",,17,0,,,,
61097,Circus Oz,https://ausstage.edu.au/pages/event/61097,1992,6/6/1992,14/6/1992,10254,Merle Reskin Theatre,Chicago,O/S,United States of America,41.873244,-87.625322,Other,"Circus, Group-devised, Physical Theatre, Variety","Circus Oz, Australia Council for the Arts, The Victorian Ministry for the Arts, OTC Communications, QANTAS",,19,2,,,,
61190,Circus Oz,https://ausstage.edu.au/pages/event/61190,1997,14/11/1997,5/1/1998,10279,New Victory Theater,New York,O/S,United States of America,40.756343,-73.987634,Other,"Circus, Group-devised, Physical Theatre, Variety","Circus Oz, Arts Victoria, Australia Council for the Arts, Circus Oz Band",Human Animals,21,2,,,,
61622,Often I Find That I Am Naked,https://ausstage.edu.au/pages/event/61622,1999,1999,1999,4717,Germany,,O/S,Germany,51.06289584,10.27612789,Theatre - Spoken Word,,,,1,0,Often I Find That I Am Naked,,,
61623,Often I Find That I Am Naked,https://ausstage.edu.au/pages/event/61623,2001,2001,2001,4717,Germany,,O/S,Germany,51.06289584,10.27612789,Theatre - Spoken Word,,,,1,0,Often I Find That I Am Naked,,,
61714,Chu Chin Chow,https://ausstage.edu.au/pages/event/61714,1928,26/12/1928,19/1/1929,10380,Regent Theatre,Kings Cross,O/S,England,51.529398,-0.124636,Music Theatre,Musical,"The London Repertory Company, Variety Theatres Consolidated Ltd",,19,0,Chu Chin Chow,,,
62095,Chu Chin Chow,https://ausstage.edu.au/pages/event/62095,1916,31/8/1916,22/7/1921,10408,His Majesty's Theatre,Haymarket,O/S,England,51.508301,-0.131728,Music Theatre,Musical,,,47,27,Chu Chin Chow,,,
62117,Chu Chin Chow,https://ausstage.edu.au/pages/event/62117,1917,22/10/1917,14/1/1918,10409,Manhattan Opera House,New York,O/S,United States of America,40.74985,-73.995525,Music Theatre,Musical,,,24,1,Chu Chin Chow,,,
62179,Virtually Richard3,https://ausstage.edu.au/pages/event/62179,2004,1/7/2004,3/7/2004,15791,Tjibaou Cultural Centre,Nouméa,O/S,New Caledonia,-22.25585797,166.4824179,Dance,Contemporary,Expressions Dance Company,,14,0,"King Richard the Third, Virtually Richard3",,,
62180,Virtually Richard3,https://ausstage.edu.au/pages/event/62180,2004,23/3/2004,25/3/2004,10413,Palacio de Bellas Artes Theatre,Cuauhtémoc,O/S,Mexico,19.435452,-99.141171,Dance,Contemporary,Expressions Dance Company,,14,0,"King Richard the Third, Virtually Richard3",,,
62205,The Barretts and Mr. Browning,https://ausstage.edu.au/pages/event/62205,1964,9/9/1964,24/9/1964,10415,Grand Theatre Leeds,Leeds,O/S,England,53.80017,-1.541124,Music Theatre,"Historical, Musical, Musical Biography, Romantic",Marlan Productions Ltd,,38,0,,,,
62206,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62206,1964,20/10/1964,4/2/1967,709,Lyric Theatre,Leicester,O/S,England,51.511291,-0.13349,Music Theatre,"Historical, Musical, Musical Biography, Romantic",Marlan Productions Ltd,,41,6,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62254,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62254,1974,1/11/1974,1975,10421,Forum Theater,Chicago,O/S,United States of America,41.867085,-87.645606,Music Theatre,"Historical, Musical, Musical Biography, Romantic",,,16,3,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62255,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62255,1978,21/8/1978,2/9/1978,10422,Brunswick Music Theater,Maine,O/S,United States of America,43.912585,-69.965914,Music Theatre,"Historical, Musical, Musical Biography, Romantic",,,22,0,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62383,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62383,1982,30/10/1982,19/12/1982,10440,Paper Mill Playhouse,Milburn,O/S,United States of America,40.727797,-74.309339,Music Theatre,"Historical, Musical, Musical Biography, Romantic",,,14,0,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62386,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62386,1987,29/4/1987,1987,10110,Chichester Festival Theatre,Chichester,O/S,England,50.8428899,-0.777384,Music Theatre,"Historical, Musical, Musical Biography, Romantic",,,14,2,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62387,Robert and Elizabeth,https://ausstage.edu.au/pages/event/62387,2000,14/11/2000,18/11/2000,3081,Lyceum Theatre,Sheffield,O/S,England,53.380513,-1.466748,Music Theatre,"Historical, Musical, Musical Biography, Romantic",Sheffield Teachers' Operatic Scoiety,,14,0,"Robert and Elizabeth, The Barretts of Wimpole Street",,,
62817,Sing a Rude Song,https://ausstage.edu.au/pages/event/62817,1970,17/2/1970,14/3/1970,10486,Greenwich Theatre,Greenwich,O/S,England,51.479363,-0.007916,Music Theatre,"Musical, Musical Biography",Greenwich Theatre Limited,,24,2,,,,
62818,Sing a Rude Song,https://ausstage.edu.au/pages/event/62818,1970,26/5/1970,25/7/1970,3564,Garrick Theatre,Westminster,O/S,England,51.510098,-0.128038,Music Theatre,"Musical, Musical Biography",Greenwich Theatre Limited,,25,2,,,,
62971,On the Level,https://ausstage.edu.au/pages/event/62971,1966,19/4/1966,30/7/1966,10496,Saville Theatre,London,O/S,England,51.514322,-0.128262,Music Theatre,Musical,Marlan Productions Ltd,,53,5,On the Level,,,
62972,Nickleby and Me,https://ausstage.edu.au/pages/event/62972,1975,8/12/1975,24/1/1976,4832,"Theatre Royal, Stratford East",Stratford,O/S,England,51.542413,0.001046,Music Theatre,"Adaptation, Musical","Theatre Royal, Stratford East",,24,4,"Nicholas Nickleby, or The Fortunes of Smike",,,
62975,Nickleby and Me,https://ausstage.edu.au/pages/event/62975,1981,15/12/1981,9/1/1982,10110,Chichester Festival Theatre,Chichester,O/S,England,50.8428899,-0.777384,Music Theatre,"Adaptation, Musical",Chichester Festival Theatre Company,,23,1,"Nicholas Nickleby, or The Fortunes of Smike",,,
62976,Streetwalker,https://ausstage.edu.au/pages/event/62976,1990,19/1/1990,11/2/1990,10497,Bush Theatre,Hammersmith and Fulham,O/S,England,51.503471,-0.223874,Music Theatre,"Adaptation, Musical",Babel Theatre Company Limited,,12,12,,,,
62977,Pin Money Opera,https://ausstage.edu.au/pages/event/62977,1991,17/7/1991,4/8/1991,3462,Battersea Arts Centre,Battersea,O/S,England,51.4649487,-0.1605115,Music Theatre,Musical,Babel Theatre Company Limited,Relationships,12,8,,,,
62982,House of Obsession,https://ausstage.edu.au/pages/event/62982,1989,1989-05,1989,10499,George Wood Theatre,New Cross,O/S,England,51.474072,-0.036662,Music Theatre,"Musical, Musical Biography",Babel Theatre Company Limited,Death,10,5,,,,
62983,House of Obsession,https://ausstage.edu.au/pages/event/62983,1989,16/5/1989,4/6/1989,10500,Canal Cafe Theatre,Maida Vale,O/S,England,51.520982,-0.184304,Music Theatre,"Musical, Musical Biography",Babel Theatre Company Limited,Death,10,0,,,,
62984,House of Obsession,https://ausstage.edu.au/pages/event/62984,1989,21/6/1989,24/6/1989,10501,Half Moon Theatre,London,O/S,England,51.522196,-0.045481,Music Theatre,"Musical, Musical Biography",Babel Theatre Company Limited,Death,10,0,,,,
62989,Josephine,https://ausstage.edu.au/pages/event/62989,1992,23/11/1992,16/1/1993,3462,Battersea Arts Centre,Battersea,O/S,England,51.4649487,-0.1605115,Music Theatre,"Musical, Musical Biography",,,14,10,,,,
63031,Josephine,https://ausstage.edu.au/pages/event/63031,1995,1995-04,13/5/1995,10506,Coliseum Theatre,Oldham,O/S,England,53.542653,-2.108488,Music Theatre,"Musical, Musical Biography",,,12,2,,,,
63032,Josephine,https://ausstage.edu.au/pages/event/63032,1995,1995-06,1995-06,10507,King's Theatre,Southsea,O/S,England,50.786911,-1.081168,Music Theatre,"Musical, Musical Biography",,,12,3,,,,
63033,Josephine,https://ausstage.edu.au/pages/event/63033,1995,1995-06,1995-06,4409,Key Theatre,Peterborough,O/S,England,52.568636,-0.238673,Music Theatre,"Musical, Musical Biography",,,12,1,,,,
63034,Josephine,https://ausstage.edu.au/pages/event/63034,1995,1995-06,24/6/1995,10415,Grand Theatre Leeds,Leeds,O/S,England,53.80017,-1.541124,Music Theatre,"Musical, Musical Biography",,,12,1,,,,
63035,Josephine,https://ausstage.edu.au/pages/event/63035,1995,1995-09,1995-09,10508,Harlow Playhouse,Harlow,O/S,England,51.76836,0.092381,Music Theatre,"Musical, Musical Biography",,,12,1,,,,
63042,The Fall of the House of Usher,https://ausstage.edu.au/pages/event/63042,1999,1999,1999,10509,Bridewell Theatre,London,O/S,England,51.513462,-0.105105,Music Theatre,Musical,,,2,1,,,,
63043,Mary and the Shaman,https://ausstage.edu.au/pages/event/63043,1998,2/12/1998,3/1/1999,3462,Battersea Arts Centre,Battersea,O/S,England,51.4649487,-0.1605115,Music Theatre,Musical,,,8,3,,,,
63044,Wedlock - the Opera,https://ausstage.edu.au/pages/event/63044,1993,11/6/1993,4/7/1993,3462,Battersea Arts Centre,Battersea,O/S,England,51.4649487,-0.1605115,Music Theatre,"Musical, Opera",,,11,3,,,,
63045,Moses!,https://ausstage.edu.au/pages/event/63045,1999,2/5/1999,2/5/1999,10510,West London Synagogue,London,O/S,England,51.515534,-0.162069,Music Theatre,Musical,,Religion,26,4,,,,
63075,Moses!,https://ausstage.edu.au/pages/event/63075,1999,26/10/1999,26/10/1999,10514,Kaufmann Concert Hall,New York,O/S,United States of America,40.782752,-73.952907,Music Theatre,"Musical, Opera","Shenval Music Australia Pty Ltd, Dolphin in the West, Marcus Kettles Productions",Religion,6,1,,,,
63076,Legs Diamond,https://ausstage.edu.au/pages/event/63076,1988,18/10/1988,19/2/1989,10515,Mark Hellinger Theatre,New York,O/S,United States of America,40.762571,-73.984842,Music Theatre,"Musical, Musical Biography",,,20,15,,,,
63080,The Legend of King O'Malley,https://ausstage.edu.au/pages/event/63080,1972,15/5/1972,16/5/1972,10516,Civic Theatre Auditorium,City Center,O/S,Fiji,-18.140917,178.42239,Music Theatre,"Musical, Musical Biography","The Old Tote Theatre Company, The University of NSW, Drama Foundation",,17,2,The Legend of King O'Malley,,,
63104,The Legend of King O'Malley,https://ausstage.edu.au/pages/event/63104,1972,29/5/1972,3/6/1972,28841,Star Boating Club,Wellington,O/S,New Zealand,-41.28826552,174.7797309,Music Theatre,"Musical, Musical Biography","The Old Tote Theatre Company, The University of NSW, Drama Foundation",,20,2,The Legend of King O'Malley,,,
63105,The Legend of King O'Malley,https://ausstage.edu.au/pages/event/63105,1972,19/5/1972,27/5/1972,10517,Mercury Theatre,Auckland,O/S,New Zealand,-36.858182,174.758981,Music Theatre,"Musical, Musical Biography","The Old Tote Theatre Company, The University of NSW, Drama Foundation, Auckland Festival Society Inc.",,17,8,The Legend of King O'Malley,,,
63261,Chu Chin Chow,https://ausstage.edu.au/pages/event/63261,1940,3/7/1940,10/9/1940,4235,Palace Theatre,Westminster,O/S,England,51.513209,-0.129447,Music Theatre,Musical,"B J Simmons & Co Ltd, London Palace Ltd",,26,5,Chu Chin Chow,,,
63262,Chu Chin Chow,https://ausstage.edu.au/pages/event/63262,1941,22/7/1941,22/11/1941,4235,Palace Theatre,Westminster,O/S,England,51.513209,-0.129447,Music Theatre,Musical,"B J Simmons & Co Ltd, London Palace Ltd",,22,4,Chu Chin Chow,,,
63721,Circus Oz,https://ausstage.edu.au/pages/event/63721,2003,5/12/2003,11/1/2004,10279,New Victory Theater,New York,O/S,United States of America,40.756343,-73.987634,Other,Circus,Circus Oz,,0,0,,,,
63723,Ellipse,https://ausstage.edu.au/pages/event/63723,2004,17/2/2004,22/2/2004,3510,The Joyce Theater,New York,O/S,United States of America,40.742772,-74.000559,Dance,Contemporary,Sydney Dance Company,,25,1,Ellipse,,,
63784,Circus Oz,https://ausstage.edu.au/pages/event/63784,2004,3/9/2004,26/9/2004,10590,Royal Festival Hall,London,O/S,England,51.5059,-0.116516,Other,Circus,Circus Oz,,3,0,,,,
63878,Ellipse,https://ausstage.edu.au/pages/event/63878,2004,5/2/2004,7/2/2004,10594,Annenberg Center for the Performing Arts,Philadelphia,O/S,United States of America,39.953265,-75.196633,Dance,Contemporary,Sydney Dance Company,,25,0,Ellipse,,,
63879,Ellipse,https://ausstage.edu.au/pages/event/63879,2004,13/2/2004,13/2/2004,10595,Concert Hall,Purchase,O/S,United States of America,41.04851,-73.705268,Dance,Contemporary,Sydney Dance Company,,25,0,Ellipse,,,
63881,Ellipse,https://ausstage.edu.au/pages/event/63881,2004,14/2/2004,14/2/2004,10596,Staller Center for the Performing Arts,Stony Brook,O/S,United States of America,40.915748,-73.12108,Dance,Contemporary,Sydney Dance Company,,25,0,Ellipse,,,
